Outlet Extender with Night Light USB Wall Charger POWLIGHT 5-Outlet Surge Protector Power Strip with 4 USB Ports 1680 Joules Multi Plug Outlet with Spaced Outlets for Home Office White,$16.95 
KMC 6-Outlet Surge Protector Power Strip 2-Pack 900 Joules 4-Foot Extension Cord Overload Protection Black,$19.99 
Southwire 2588SW0002 Outdoor Extension Cord- 12/3 American Made SJTW Heavy Duty 3 Prong Extension Cord- Great for Commercial Use Gardening ( 50 Foot- Yellow) & No-Spill 1450 5-Gallon Poly Gas Can,$29.60 
Ring Video Doorbell 4 – improved 4-second color video previews plus easy installation and enhanced wifi – 2021 release,$219.99 
152 pcs Cord Management Organizer Kit 4 Cable Sleeve Split with 41Self Adhesive Cable Clips Holder 10pcs and 2 Roll Self Adhesive tie and 100 Fastening Cable Ties for TV Office Home Electronics etc,$16.99 
TICONN 120Pcs Heat Shrink Wire Connectors Waterproof Automotive Marine Electrical Terminals Kit Crimp Connector Assortment Ring Fork Spade Butt Splices,$12.95 
Clear Power 6 ft Outdoor Extension Cord 16/3 SJTW Lawn & Garden Green Cable for Holiday Decoration 3-Prong Grounded Plug Water & Weather Resistant Flame Retardant DCOC-0195-DC,$14.99 
[2 in 1] Headphone Adapter for iPhone，Apple MFi Certified Lightning to 3.5mm Jack Dongle Aux Audio Charger Splitter Compatible with iPhone 13/12/XS/X 8 7 Audio Earphone Adaptor Support All iOS System,$8.49 
Surge Protector Power Strip  Nuetsa Extension Cord with 8 Outlets and 4 USB Ports 6 Feet Power Cord (1625W/13A)  2700 Joules ETL Listed Black,$17.97 
Power Strip with USB Mountable Flat Plug Power Strip with 3 Outlets 3 USB Ports(Smart 3.1A) 5ft Braided Extension Cord Compact for Cruise Ship Travel Home Office,$14.99 
GE 6-Outlet Surge Protector 2 Pack 3 Ft Extension Cord Power Strip 450 Joules On/Off Switch Integrated Circuit Breaker Heavy Duty Warranty UL Listed Black 83969,$9.99 
Amazon Basics 6-Outlet Surge Protector Power Strip 6-Foot Long Cord 790 Joule - White,$11.90 
"TKDMR 10pcs 1/0 AWG-1/2"" Battery LugsCopper Wire LugsHeavy Duty Battery Cable EndsTubular Ring TerminalsAWG Crimp Wire Ring LugsBattery Terminal Connectors with 3:1 Heat Shrink Tubing",$6.99 
"125"" Cord Hider - Yecaye One-Cord Channel Cable Concealer - Cord Cover Wall - Easy Install Cable Management System for Max 2 Small Wire - Cable Raceway Home Office - 8X L15.7in W0.59in H0.4in White",$15.99 
SMART&COOL Reusable Silicone Magnetic Cable Ties for Bundling and Organizing Holding Stuff Book Markers Fridge Magnets or Just for Fun Assorted Color 7.16'' (20-Pack Multi),$17.99 
GE Indoor Extension Cord 15 Ft Power Cable 3 Grounded Outlets 3-Prong Low-Profile Flat Plug 16 Gauge UL Listed Gray 43026 1 Pack,$9.36 
CrocSee 250 Pieces - Car Fuses Assortment Kit Blade-Type Automotive Fuses - Standard & Mini Size (2A/3A/5A/7.5A/10A/15A/ 20A/25A/30A/35A/40A) Replacement Fuses for Car/RV/Truck/Motorcycle/Boat,$13.99 
Alex Tech 25ft - 1/2 inch Cord Protector Wire Loom Tubing Cable Sleeve Split Sleeving for USB Cable Power Cord Audio Video Cable – Protect Cat from Chewing Cords - Black,$15.98 
Smart Plug Amysen - A Certified & Alexa Echo & Google Home – Only WiFi 2.4G (4- Pack),$21.97 
Go Green Power Inc. GG-13708 16/3 8' Heavy Duty Extension Cord-Orange 8 Ft,$7.99 
USB Power Strip Flat Plug Power Strip Extension Cord with 3 Outlets 3 USB Ports(Smart 3.1A) 5ft Braided Power Cord ETL Listed Compact for Cruise Ship Travel Home Office,$14.99 
IRWIN Vise-Grip Wire Stripping Tool / Wire Cutter 8-Inch (2078309) Multicolor,$8.75 
USB Power Strip Flat Plug Power Strip Extension Cord with 3 Outlets 3 USB Ports(Smart 3.1A) 5ft Braided Power Cord ETL Listed Compact for Cruise Ship Travel Home Office,$14.99 
Anker Power Strip Surge Protector with USB 6 ft Extension Cord Flat Plug 332 Power Strip with 6 Outlets and 3 USB Ports Charging Station Compact for Cruise Ship Travel Home Dorm Room and Office,$25.99 
Ancor Marine Grade Primary Wire and Battery Cable,$6.24 
Filtrete 16x25x4 AC Furnace Air Filter MPR 1550 Fits Honeywell and Lennox Devices Healthy Living Ultra Allergen Deep Pleat 2-Pack (actual dimensions 15.88 x 24.56 x 4.31),$20.82 
Woods SlimLine 2241 16/3 Flat Plug Indoor Extension Cord 8-Foot 3 Outlets Right Angled Plug Space Saving Design UL Listed,$4.48 
ETL 3 Prong to 2 Prong Adapter Polarized Grounding Converter JACKYLED 3-Prong Adapter Converter Fireproof Material 200℃ Resistant Heavy Duty for Wall Outlets Electrical Household Dark Green 2 Pack,$5.69 
Ring Video Doorbell 3 – enhanced wifi improved motion detection easy installation,$199.99 
USB Wall Charger Surge Protector 6 Outlet Extender with 2 USB Ports3-Sided 2100J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office (2 USB),$12.71 
"GTSE 12 Inch Black Zip Ties 100 Pack 40lb Strength UV Resistant Long Nylon Cable Ties Self-Locking 12"" Tie Wraps",$7.99 
KAIWEETS Voltage Tester/Non-Contact Voltage Tester with Dual Range AC 12V-1000V/48V-1000V Live/Null Wire Tester Electrical Tester with LCD Display Buzzer Alarm Wire Breakpoint Finder-HT100B,$13.99 
Desktop Power Strip with 3 Outlet 4 USB Ports 4.5A Flat Plug and 5 ft Long Braided Extension Cords for Cruise Ship Travel Home Office ETL Listed,$17.99 
GE 6-Outlet Surge Protector 2 Pack 3 Ft Extension Cord Power Strip 450 Joules On/Off Switch Integrated Circuit Breaker Heavy Duty Warranty UL Listed Black 83969,$9.99 
TR Industrial Multi-Purpose UV Resistant Black Cable Ties 8 inches 100 Pack,$7.49 
POWRUI Surge Protector USB Wall Charger with 2 USB Charging Ports(Smart 2.4A Total) 6-Outlet Extender and Top Phone Holder for Your Cell Phone White ETL Listed,$11.02 
Kasa Smart Light Switch HS200 Single Pole Needs Neutral Wire 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home UL Certified No Hub Required  White,$14.99 
Power Strip  Nuetsa Surge Protector with 12 Outlets and 4 USB Ports 6 Feet Flat Plug Extension Cord (1875W/15A) for for Home Office Dorm Essentials 2700 Joules ETL Listed (Black),$21.99 
153” Cord Hider - Cord Cover Wall - Wire Covers for Cords - Paintable Cable Concealer cable Hider Wire hiders for TV on Wall - Cable Management Cord Hider Wall - Cable Raceway -White Cord Management,$12.97 
3 Prong to 2 Prong Adapter，TESSAN Electrical 4 Outlet Expander with 3 USB Wall Charger Multi Plug Extender Splitter Travel Multiple Power Adaptor for US to Japan Type A,$14.99 
White Cable Clips Cord Organizer Cable Management Cable Organizers USB Cable Holder Wire Organizer Cord Clips 2 Packs Cord Holder for Desk Car Home and Office (5 3 Slots),$6.55 
Power Strip with USB C 3 Outlets 4 USB Ports (22.5W/4.5A) Desktop Charging Station Flat Plug 5ft Braided Extension Cord Non Surge Protector for Travel Cruise Ship ETL Listed,$17.99 
APC Surge Protector Power Strip PE76 1440 Joule Flat Plug 7 Outlet Strip Black,$11.99 
European Plug Adapter TESSAN International Travel Power Plug with 4 AC Outlets 3 USB Ports US to Most of Europe EU Italy Spain France Iceland Germany Greece Charger Adaptor Type C,$11.89 
DOORBELLBOA Anti-Theft Video Doorbell Door Mount,$29.99 
Amico 12 Pack 6 Inch Ultra-Thin LED Recessed Ceiling Light with Junction Box 3000K Warm White 12W Eqv 110W Dimmable Canless Wafer Downlight 1050LM High Brightness ETL and Energy Star Certified,$109.97 
